dish_name,category,primary_ingredients,ingredient_ratios,calories_per_100g,protein_per_100g,carbs_per_100g,fat_per_100g,oil_absorption_pct,cooked_to_raw_ratio,ifct_mapping,usda_mapping,notes
ghevar,sweet,"[""maida"", ""sugar"", ""ghee"", ""milk"", ""almonds""]","{""maida"": 0.35, ""sugar"": 0.3, ""ghee"": 0.25, ""milk"": 0.08, ""almonds"": 0.02}",450,5.0,55.0,22.0,20.0,1.0,Rajasthani sweet,Honeycomb disc sweet,Deep fried in ghee; highly porous absorbs sugar syrup
gulab_jamun,sweet,"[""mawa"", ""maida"", ""sugar"", ""ghee"", ""cardamom""]","{""mawa"": 0.5, ""maida"": 0.1, ""sugar"": 0.25, ""ghee"": 0.13, ""cardamom"": 0.02}",380,6.0,55.0,15.0,18.0,1.0,Gulab jamun,Milk solid sweet,Deep fried in ghee; soaked in sugar syrup
imarti,sweet,"[""urad_dal"", ""sugar"", ""ghee"", ""saffron""]","{""urad_dal"": 0.4, ""sugar"": 0.35, ""ghee"": 0.23, ""saffron"": 0.02}",400,5.5,58.0,16.0,20.0,1.0,Imarti/jalebi variant,Fried lentil sweet,Deep fried in ghee; urad dal batter
jalebi,sweet,"[""maida"", ""sugar"", ""ghee"", ""yogurt"", ""saffron""]","{""maida"": 0.4, ""sugar"": 0.35, ""ghee"": 0.22, ""yogurt"": 0.03}",380,3.5,65.0,12.0,18.0,1.0,Jalebi,Fried sweet,Deep fried; fermented batter
kalakand,sweet,"[""milk"", ""sugar"", ""lemon"", ""cardamom""]","{""milk"": 0.75, ""sugar"": 0.2, ""lemon"": 0.03, ""cardamom"": 0.02}",280,8.5,38.0,10.0,0.0,0.3,Milk cake,Curdled milk sweet,Heavily reduced milk; very dense
kakinada_khaja,sweet,"[""maida"", ""sugar"", ""ghee""]","{""maida"": 0.45, ""sugar"": 0.35, ""ghee"": 0.2}",460,5.0,62.0,20.0,15.0,1.0,Layered sweet,Flaky pastry sweet,Layered dough fried in ghee
kajjikaya,sweet,"[""maida"", ""coconut"", ""sugar"", ""ghee"", ""cardamom""]","{""maida"": 0.35, ""coconut"": 0.25, ""sugar"": 0.25, ""ghee"": 0.13, ""cardamom"": 0.02}",420,4.5,52.0,20.0,12.0,1.0,Stuffed sweet,Coconut stuffed pastry,Deep fried; coconut + sugar filling
kuzhi_paniyaram,sweet,"[""rice"", ""urad_dal"", ""jaggery"", ""coconut"", ""ghee""]","{""rice"": 0.35, ""urad_dal"": 0.15, ""jaggery"": 0.3, ""coconut"": 0.15, ""ghee"": 0.05}",280,4.5,48.0,8.0,5.0,1.8,Paniyaram,Rice dumpling,Fermented batter; cooked in paniyaram pan with ghee
ledikeni,sweet,"[""chhena"", ""sugar"", ""ghee"", ""flour"", ""saffron""]","{""chhena"": 0.45, ""sugar"": 0.3, ""ghee"": 0.2, ""flour"": 0.03, ""saffron"": 0.02}",340,8.0,42.0,16.0,12.0,1.0,Ledikeni,Chhena fried sweet,Chhena fried in ghee; sugar syrup soaked
lyangcha,sweet,"[""maida"", ""sugar"", ""ghee"", ""coconut"", ""milk""]","{""maida"": 0.35, ""sugar"": 0.3, ""ghee"": 0.2, ""coconut"": 0.1, ""milk"": 0.05}",380,4.0,52.0,16.0,15.0,1.0,Assamese sweet,Fried sweet,Deep fried; elongated shape
malapua,sweet,"[""maida"", ""milk"", ""sugar"", ""fennel"", ""ghee""]","{""maida"": 0.3, ""milk"": 0.3, ""sugar"": 0.25, ""fennel"": 0.02, ""ghee"": 0.13}",320,5.0,42.0,14.0,10.0,1.0,Pancake sweet,Fried pancake,Pan fried in ghee; sugar syrup soaked
misti_doi,sweet,"[""milk"", ""sugar"", ""yogurt_culture""]","{""milk"": 0.8, ""sugar"": 0.18, ""yogurt_culture"": 0.02}",180,5.5,28.0,5.5,0.0,0.5,Sweet yogurt,Caramelized yogurt,Milk caramelized then fermented; no oil
modak,sweet,"[""rice_flour"", ""coconut"", ""jaggery"", ""ghee"", ""poppy_seeds""]","{""rice_flour"": 0.3, ""coconut"": 0.3, ""jaggery"": 0.3, ""ghee"": 0.08, ""poppy_seeds"": 0.02}",320,3.5,48.0,12.0,5.0,1.0,Modak,Stuffed dumpling,Steamed or fried; coconut-jaggery filling
mysore_pak,sweet,"[""besan"", ""sugar"", ""ghee""]","{""besan"": 0.3, ""sugar"": 0.35, ""ghee"": 0.35}",520,7.0,50.0,32.0,0.0,1.0,Mysore pak,Besan fudge,Extremely ghee heavy; no water
phirni,sweet,"[""rice"", ""milk"", ""sugar"", ""saffron"", ""nuts""]","{""rice"": 0.1, ""milk"": 0.7, ""sugar"": 0.12, ""saffron"": 0.01, ""nuts"": 0.07}",180,5.0,24.0,7.0,0.0,0.55,Rice pudding,Ground rice pudding,Ground rice cooked in milk; served cold
pootharekulu,sweet,"[""rice_flour"", ""sugar"", ""ghee"", ""cardamom""]","{""rice_flour"": 0.4, ""sugar"": 0.35, ""ghee"": 0.23, ""cardamom"": 0.02}",440,3.0,60.0,20.0,15.0,1.0,Paper sweet,Rice paper sweet,Rice starch sheets fried in ghee; layered
qubani_ka_meetha,sweet,"[""apricot"", ""sugar"", ""water"", ""cream"", ""almonds""]","{""apricot"": 0.5, ""sugar"": 0.25, ""water"": 0.15, ""cream"": 0.07, ""almonds"": 0.03}",220,2.5,42.0,6.0,0.0,0.8,Apricot sweet,Stewed apricot,Hyderabadi; apricots stewed in sugar syrup
rabri,sweet,"[""milk"", ""sugar"", ""saffron"", ""cardamom"", ""nuts""]","{""milk"": 0.82, ""sugar"": 0.1, ""saffron"": 0.01, ""cardamom"": 0.01, ""nuts"": 0.06}",250,7.5,28.0,12.0,0.0,0.25,Rabri,Reduced milk cream,Milk reduced to 25%; cream layers
ras_malai,sweet,"[""chhena"", ""milk"", ""sugar"", ""saffron"", ""pistachio""]","{""chhena"": 0.35, ""milk"": 0.45, ""sugar"": 0.12, ""saffron"": 0.01, ""pistachio"": 0.07}",240,7.0,26.0,12.0,0.0,0.7,Rasmalai,Chhena in milk,Chhena discs in flavored milk
rasgulla,sweet,"[""chhena"", ""sugar"", ""water"", ""cardamom""]","{""chhena"": 0.4, ""sugar"": 0.35, ""water"": 0.23, ""cardamom"": 0.02}",220,5.5,40.0,4.0,0.0,1.0,Rasgulla,Chhena ball in syrup,Boiled in sugar syrup; spongy
sandesh,sweet,"[""chhena"", ""sugar"", ""cardamom""]","{""chhena"": 0.65, ""sugar"": 0.3, ""cardamom"": 0.05}",280,10.0,38.0,9.0,0.0,0.85,Sandesh,Chhena sweet,Fresh chhena lightly sweetened; no cooking
sheera,sweet,"[""semolina"", ""sugar"", ""ghee"", ""water"", ""nuts""]","{""semolina"": 0.25, ""sugar"": 0.25, ""ghee"": 0.2, ""water"": 0.25, ""nuts"": 0.05}",340,4.5,48.0,14.0,8.0,2.5,Semolina halwa,Rava sheera,Semolina roasted in ghee; water added 2:1
sheer_korma,sweet,"[""vermicelli"", ""milk"", ""sugar"", ""ghee"", ""dates"", ""nuts""]","{""vermicelli"": 0.15, ""milk"": 0.55, ""sugar"": 0.12, ""ghee"": 0.08, ""dates"": 0.05, ""nuts"": 0.05}",220,5.5,30.0,8.0,4.0,1.8,Vermicelli pudding,Eid special,Vermicelli roasted in ghee; cooked in milk
shrikhand,sweet,"[""yogurt"", ""sugar"", ""saffron"", ""cardamom"", ""nuts""]","{""yogurt"": 0.75, ""sugar"": 0.18, ""saffron"": 0.01, ""cardamom"": 0.01, ""nuts"": 0.05}",200,6.5,28.0,7.0,0.0,0.35,Strained yogurt,Sweet yogurt,Yogurt hung to remove whey; very thick
sohan_halwa,sweet,"[""cornflour"", ""sugar"", ""ghee"", ""water"", ""nuts""]","{""cornflour"": 0.15, ""sugar"": 0.3, ""ghee"": 0.3, ""water"": 0.2, ""nuts"": 0.05}",420,3.5,55.0,20.0,5.0,0.4,Sohan halwa,Dense nut sweet,Very dense; cooked until solid
sohan_papdi,sweet,"[""besan"", ""sugar"", ""ghee"", ""cardamom""]","{""besan"": 0.25, ""sugar"": 0.35, ""ghee"": 0.35, ""cardamom"": 0.05}",480,6.0,58.0,24.0,0.0,1.0,Sohan papdi,Flaky sweet,No water; all ghee and sugar
sutar_feni,sweet,"[""maida"", ""sugar"", ""ghee"", ""saffron""]","{""maida"": 0.4, ""sugar"": 0.35, ""ghee"": 0.23, ""saffron"": 0.02}",430,5.0,60.0,18.0,15.0,1.0,Feni sweet,Thread sweet,Deep fried thin threads; sugar coated
unni_appam,sweet,"[""rice"", ""banana"", ""jaggery"", ""coconut"", ""ghee""]","{""rice"": 0.3, ""banana"": 0.25, ""jaggery"": 0.25, ""coconut"": 0.15, ""ghee"": 0.05}",280,3.5,50.0,8.0,5.0,1.5,Appam,Rice banana sweet,Fermented rice + banana; cooked in appam pan
aloo_gobi,curry,"[""potato"", ""cauliflower"", ""onion"", ""tomato"", ""ginger_garlic"", ""oil"", ""spices""]","{""potato"": 0.35, ""cauliflower"": 0.3, ""onion"": 0.1, ""tomato"": 0.08, ""ginger_garlic"": 0.03, ""oil"": 0.08, ""spices"": 0.06}",110,2.5,14.0,5.0,6.0,0.85,Vegetable curry,Potato cauliflower curry,Dry-ish curry; moderate oil
aloo_matar,curry,"[""potato"", ""green_peas"", ""onion"", ""tomato"", ""ginger_garlic"", ""oil"", ""spices""]","{""potato"": 0.35, ""green_peas"": 0.2, ""onion"": 0.12, ""tomato"": 0.1, ""ginger_garlic"": 0.03, ""oil"": 0.12, ""spices"": 0.08}",120,3.0,16.0,5.5,8.0,0.9,Vegetable curry,Potato peas curry,Semi-gravy; onion-tomato base
aloo_methi,curry,"[""potato"", ""fenugreek_leaves"", ""onion"", ""tomato"", ""oil"", ""spices""]","{""potato"": 0.45, ""fenugreek_leaves"": 0.2, ""onion"": 0.1, ""tomato"": 0.08, ""oil"": 0.1, ""spices"": 0.07}",105,2.5,13.0,5.0,7.0,0.85,Vegetable curry,Potato fenugreek curry,Dry curry; methi reduces moisture
aloo_shimla_mirch,curry,"[""potato"", ""capsicum"", ""onion"", ""tomato"", ""oil"", ""spices""]","{""potato"": 0.4, ""capsicum"": 0.25, ""onion"": 0.12, ""tomato"": 0.08, ""oil"": 0.1, ""spices"": 0.05}",100,2.0,13.0,4.5,7.0,0.85,Vegetable curry,Potato capsicum curry,Dry fry style
aloo_tikki,snack,"[""potato"", ""peas"", ""bread_crumbs"", ""oil"", ""spices"", ""coriander""]","{""potato"": 0.55, ""peas"": 0.1, ""bread_crumbs"": 0.08, ""oil"": 0.15, ""spices"": 0.07, ""coriander"": 0.05}",180,3.0,22.0,8.0,12.0,0.9,Snack,Potato patty,Shallow fried; absorbs significant oil
bhindi_masala,curry,"[""okra"", ""onion"", ""tomato"", ""oil"", ""spices""]","{""okra"": 0.5, ""onion"": 0.15, ""tomato"": 0.1, ""oil"": 0.15, ""spices"": 0.1}",130,2.5,12.0,8.0,12.0,0.8,Vegetable curry,Okra curry,Dry roasted bhindi; high oil to prevent stickiness
butter_chicken,curry,"[""chicken"", ""tomato"", ""cream"", ""butter"", ""cashew"", ""spices"", ""honey""]","{""chicken"": 0.3, ""tomato"": 0.2, ""cream"": 0.12, ""butter"": 0.1, ""cashew"": 0.05, ""spices"": 0.08, ""honey"": 0.03, ""oil"": 0.12}",180,10.0,8.0,12.0,8.0,0.95,Non-veg curry,Chicken makhani,Rich gravy; butter + cream heavy; tandoori chicken base
chana_masala,curry,"[""chickpeas"", ""onion"", ""tomato"", ""oil"", ""spices"", ""ginger_garlic""]","{""chickpeas"": 0.4, ""onion"": 0.15, ""tomato"": 0.15, ""oil"": 0.12, ""spices"": 0.1, ""ginger_garlic"": 0.08}",140,5.5,18.0,5.0,8.0,0.9,Legume curry,Chickpea curry,Thick gravy; onion-tomato masala base
chicken_razala,curry,"[""chicken"", ""yogurt"", ""onion"", ""cashew"", ""poppy_seeds"", ""oil"", ""spices""]","{""chicken"": 0.35, ""yogurt"": 0.15, ""onion"": 0.12, ""cashew"": 0.06, ""poppy_seeds"": 0.03, ""oil"": 0.15, ""spices"": 0.14}",160,12.0,6.0,10.0,10.0,0.9,Non-veg curry,White chicken curry,Yogurt + nut based white gravy; less tomato
chicken_tikka,starter,"[""chicken"", ""yogurt"", ""spices"", ""lemon"", ""oil""]","{""chicken"": 0.6, ""yogurt"": 0.15, ""spices"": 0.12, ""lemon"": 0.03, ""oil"": 0.1}",165,18.0,4.0,8.0,6.0,0.85,Tandoori,Grilled chicken,Marinated and grilled; minimal oil vs fried
chicken_tikka_masala,curry,"[""chicken_tikka"", ""tomato"", ""cream"", ""butter"", ""spices""]","{""chicken_tikka"": 0.3, ""tomato"": 0.2, ""cream"": 0.1, ""butter"": 0.08, ""spices"": 0.12, ""oil"": 0.1, ""onion"": 0.1}",175,11.0,8.0,11.0,8.0,0.95,Non-veg curry,Chicken tikka gravy,Similar to butter chicken but spicier; tikka pieces in gravy
daal_puri,bread,"[""wheat_flour"", ""lentil"", ""oil"", ""spices""]","{""wheat_flour"": 0.45, ""lentil"": 0.2, ""oil"": 0.25, ""spices"": 0.1}",320,8.0,40.0,14.0,20.0,1.0,Stuffed bread,Lentil stuffed fried bread,Deep fried; significant oil absorption
dal_makhani,curry,"[""black_lentil"", ""kidney_beans"", ""butter"", ""cream"", ""tomato"", ""spices""]","{""black_lentil"": 0.3, ""kidney_beans"": 0.1, ""butter"": 0.12, ""cream"": 0.08, ""tomato"": 0.15, ""spices"": 0.1, ""oil"": 0.15}",160,6.5,16.0,8.0,10.0,0.85,Legume curry,Creamy black lentils,Slow cooked; butter + cream heavy; restaurant style has more fat
dal_tadka,curry,"[""yellow_lentil"", ""onion"", ""tomato"", ""ghee"", ""spices"", ""garlic""]","{""yellow_lentil"": 0.45, ""onion"": 0.1, ""tomato"": 0.1, ""ghee"": 0.08, ""spices"": 0.12, ""garlic"": 0.05, ""oil"": 0.1}",120,5.5,15.0,4.5,7.0,0.9,Legume curry,Tempered lentils,Ghee tadka on top; home style has less fat than dal makhani
dum_aloo,curry,"[""baby_potato"", ""yogurt"", ""onion"", ""tomato"", ""cashew"", ""oil"", ""spices""]","{""baby_potato"": 0.4, ""yogurt"": 0.12, ""onion"": 0.1, ""tomato"": 0.1, ""cashew"": 0.05, ""oil"": 0.15, ""spices"": 0.08}",140,3.0,15.0,7.0,10.0,0.9,Vegetable curry,Stuffed potato curry,Potatoes fried then simmered in yogurt gravy
kadai_paneer,curry,"[""paneer"", ""capsicum"", ""onion"", ""tomato"", ""cream"", ""oil"", ""spices""]","{""paneer"": 0.25, ""capsicum"": 0.2, ""onion"": 0.12, ""tomato"": 0.15, ""cream"": 0.05, ""oil"": 0.15, ""spices"": 0.08}",165,7.5,10.0,11.0,10.0,0.9,Paneer curry,Wok paneer,Semi-dry; capsicum + onion chunks; kadai masala
kadhi_pakoda,curry,"[""yogurt"", ""besan"", ""onion"", ""spinach"", ""oil"", ""spices""]","{""yogurt"": 0.3, ""besan"": 0.15, ""onion"": 0.1, ""spinach"": 0.08, ""oil"": 0.2, ""spices"": 0.12, ""water"": 0.05}",130,4.5,12.0,7.0,15.0,0.95,Yogurt curry,Fritter yogurt curry,Pakoras fried then soaked in kadhi; significant oil from pakoras
karela_bharta,curry,"[""bitter_gourd"", ""onion"", ""tomato"", ""oil"", ""spices""]","{""bitter_gourd"": 0.45, ""onion"": 0.15, ""tomato"": 0.12, ""oil"": 0.18, ""spices"": 0.1}",115,2.5,10.0,7.0,14.0,0.8,Vegetable curry,Bitter gourd mash,Bitter gourd fried then mashed; high oil to mask bitterness
kofta,curry,"[""paneer"", ""potato"", ""cashew"", ""cream"", ""onion"", ""tomato"", ""oil"", ""spices""]","{""paneer"": 0.15, ""potato"": 0.15, ""cashew"": 0.05, ""cream"": 0.08, ""onion"": 0.1, ""tomato"": 0.12, ""oil"": 0.2, ""spices"": 0.1, ""water"": 0.05}",170,5.5,12.0,11.0,16.0,0.95,Vegetable curry,Paneer potato balls in gravy,Koftas deep fried; then in rich gravy
maach_jhol,curry,"[""fish"", ""potato"", ""mustard"", ""tomato"", ""oil"", ""spices""]","{""fish"": 0.3, ""potato"": 0.2, ""mustard"": 0.08, ""tomato"": 0.12, ""oil"": 0.15, ""spices"": 0.1, ""water"": 0.05}",140,12.0,8.0,8.0,10.0,1.0,Fish curry,Bengali fish curry,Mustard based thin gravy; fish pieces
makki_di_roti_sarson_da_saag,combo,"[""maize_flour"", ""mustard_greens"", ""spinach"", ""ghee"", ""garlic"", ""ginger""]","{""maize_flour"": 0.3, ""mustard_greens"": 0.25, ""spinach"": 0.15, ""ghee"": 0.15, ""garlic"": 0.05, ""ginger"": 0.05, ""spices"": 0.05}",165,4.5,18.0,8.5,10.0,0.9,Punjabi combo,Corn bread + greens,Saag cooked with ghee; makki roti no oil but dense
navrattan_korma,curry,"[""mixed_vegetables"", ""paneer"", ""cashew"", ""cream"", ""yogurt"", ""oil"", ""spices""]","{""mixed_vegetables"": 0.35, ""paneer"": 0.1, ""cashew"": 0.06, ""cream"": 0.08, ""yogurt"": 0.08, ""oil"": 0.2, ""spices"": 0.08, ""water"": 0.05}",155,4.5,12.0,11.0,15.0,0.95,Mixed veg curry,Nine gem curry,Rich creamy gravy; navrattan = nine jewels
palak_paneer,curry,"[""spinach"", ""paneer"", ""onion"", ""tomato"", ""cream"", ""oil"", ""spices""]","{""spinach"": 0.4, ""paneer"": 0.18, ""onion"": 0.1, ""tomato"": 0.1, ""cream"": 0.05, ""oil"": 0.12, ""spices"": 0.05}",140,7.0,8.0,9.0,8.0,0.9,Paneer curry,Spinach cottage cheese,Spinach puree base; blanched then pureed
paneer_butter_masala,curry,"[""paneer"", ""tomato"", ""butter"", ""cream"", ""cashew"", ""sugar"", ""oil"", ""spices""]","{""paneer"": 0.2, ""tomato"": 0.25, ""butter"": 0.1, ""cream"": 0.1, ""cashew"": 0.06, ""sugar"": 0.03, ""oil"": 0.15, ""spices"": 0.08, ""water"": 0.03}",175,6.5,10.0,12.0,10.0,0.95,Paneer curry,Paneer makhani,Very similar to butter chicken but paneer; sweet tomato gravy
bhatura,bread,"[""maida"", ""yogurt"", ""oil"", ""semolina""]","{""maida"": 0.55, ""yogurt"": 0.1, ""oil"": 0.25, ""semolina"": 0.1}",320,6.0,42.0,14.0,22.0,1.0,Fried bread,Puffed fried bread,Deep fried; puffs up absorbing significant oil
chapati,bread,"[""wheat_flour"", ""water"", ""oil""]","{""wheat_flour"": 0.65, ""water"": 0.3, ""oil"": 0.05}",240,7.5,48.0,2.5,2.0,1.0,Flatbread,Whole wheat roti,Dry roasted on tawa; minimal oil (some add ghee on top)
misi_roti,bread,"[""wheat_flour"", ""besan"", ""onion"", ""green_chili"", ""oil"", ""spices""]","{""wheat_flour"": 0.5, ""besan"": 0.15, ""onion"": 0.1, ""green_chili"": 0.03, ""oil"": 0.15, ""spices"": 0.07}",280,8.0,42.0,9.0,12.0,1.0,Stuffed flatbread,Mixed flour roti,Rajasthani; roasted with oil; savory
naan,bread,"[""maida"", ""yogurt"", ""milk"", ""butter"", ""yeast"", ""sugar""]","{""maida"": 0.55, ""yogurt"": 0.1, ""milk"": 0.1, ""butter"": 0.12, ""yeast"": 0.03, ""sugar"": 0.03, ""water"": 0.07}",310,7.0,48.0,10.0,8.0,1.0,Leavened bread,Tandoori naan,Tandoor baked; butter/ghee brushed on top
biryani,rice,"[""rice"", ""meat_or_veg"", ""yogurt"", ""onion"", ""ghee"", ""saffron"", ""spices"", ""nuts""]","{""rice"": 0.35, ""meat_or_veg"": 0.2, ""yogurt"": 0.08, ""onion"": 0.1, ""ghee"": 0.12, ""saffron"": 0.01, ""spices"": 0.08, ""nuts"": 0.03, ""water"": 0.03}",180,6.5,22.0,7.5,8.0,2.2,Rice dish,Layered rice,Rice cooked with meat/veg; dum style; ghee heavy; rice expands 2.2x
boondi,snack,"[""besan"", ""oil"", ""spices"", ""sugar_or_salt""]","{""besan"": 0.45, ""oil"": 0.4, ""spices"": 0.1, ""sugar_or_salt"": 0.05}",450,8.0,40.0,28.0,35.0,1.0,Fried snack,Gram flour droplets,Deep fried tiny balls; massive oil absorption
poornalu,sweet,"[""rice_flour"", ""chana_dal"", ""jaggery"", ""coconut"", ""ghee""]","{""rice_flour"": 0.25, ""chana_dal"": 0.2, ""jaggery"": 0.25, ""coconut"": 0.2, ""ghee"": 0.1}",320,5.0,52.0,12.0,8.0,1.0,Sweet snack,Stuffed sweet balls,Deep fried; chana dal + jaggery filling
kachori,snack,"[""maida"", ""lentil_or_peas"", ""oil"", ""spices""]","{""maida"": 0.4, ""lentil_or_peas"": 0.2, ""oil"": 0.3, ""spices"": 0.1}",380,7.0,42.0,20.0,25.0,1.0,Fried snack,Stuffed pastry,Deep fried flaky pastry; very oily
shankarpali,snack,"[""maida"", ""sugar"", ""ghee"", ""milk""]","{""maida"": 0.45, ""sugar"": 0.25, ""ghee"": 0.2, ""milk"": 0.1}",420,5.0,58.0,18.0,15.0,1.0,Sweet snack,Diamond cuts,Deep fried sweet biscuits
lassi,beverage,"[""yogurt"", ""water"", ""sugar"", ""cardamom"", ""saffron""]","{""yogurt"": 0.55, ""water"": 0.3, ""sugar"": 0.12, ""cardamom"": 0.01, ""saffron"": 0.02}",95,3.5,14.0,3.0,0.0,1.0,Drink,Yogurt drink,Sweet or salted; diluted yogurt
poha,breakfast,"[""flattened_rice"", ""onion"", ""peanut"", ""potato"", ""oil"", ""spices"", ""lemon""]","{""flattened_rice"": 0.4, ""onion"": 0.1, ""peanut"": 0.08, ""potato"": 0.12, ""oil"": 0.15, ""spices"": 0.1, ""lemon"": 0.05}",160,3.5,22.0,6.5,12.0,1.5,Breakfast,Flattened rice stir fry,Poha absorbs water when washed; then stir fried with oil
ariselu,sweet,"[""rice_flour"", ""jaggery"", ""ghee"", ""sesame"", ""cardamom""]","{""rice_flour"": 0.45, ""jaggery"": 0.35, ""ghee"": 0.15, ""sesame"": 0.03, ""cardamom"": 0.02}",410,3.5,62.0,15.0,12.0,1.0,Andhra sweet,Rice flour sweet,Deep fried; similar to adhirasam but different shape
chak_hao_kheer,sweet,"[""black_rice"", ""milk"", ""sugar"", ""nuts"", ""cardamom""]","{""black_rice"": 0.2, ""milk"": 0.6, ""sugar"": 0.12, ""nuts"": 0.05, ""cardamom"": 0.03}",180,4.5,28.0,6.0,0.0,0.55,Manipur sweet,Black rice pudding,Chak-hao is aromatic black rice; milk pudding
daal_baati_churma,combo,"[""wheat_flour"", ""lentil"", ""ghee"", ""sugar"", ""semolina""]","{""wheat_flour"": 0.3, ""lentil"": 0.2, ""ghee"": 0.25, ""sugar"": 0.15, ""semolina"": 0.1}",380,8.5,48.0,16.0,20.0,0.85,Rajasthani combo,Lentil wheat balls,Baati baked then soaked in ghee; served with dal and sweet churma
doodhpak,sweet,"[""milk"", ""rice"", ""sugar"", ""saffron"", ""nuts"", ""cardamom""]","{""milk"": 0.7, ""rice"": 0.08, ""sugar"": 0.12, ""saffron"": 0.01, ""nuts"": 0.06, ""cardamom"": 0.03}",190,5.0,26.0,7.0,0.0,0.6,Gujarati sweet,Milk rice pudding,Thicker than kheer; reduced milk with rice
gavvalu,sweet,"[""maida"", ""sugar"", ""ghee"", ""coconut"", ""cardamom""]","{""maida"": 0.4, ""sugar"": 0.3, ""ghee"": 0.2, ""coconut"": 0.08, ""cardamom"": 0.02}",420,4.5,58.0,18.0,15.0,1.0,Andhra sweet,Shell shaped sweet,Deep fried shell shaped pastry; sugar coated
litti_chokha,combo,"[""wheat_flour"", ""sattu"", ""mustard_oil"", ""eggplant"", ""potato"", ""tomato"", ""spices""]","{""wheat_flour"": 0.25, ""sattu"": 0.2, ""mustard_oil"": 0.1, ""eggplant"": 0.15, ""potato"": 0.12, ""tomato"": 0.1, ""spices"": 0.08}",165,5.5,20.0,7.0,8.0,0.9,Bihari combo,Stuffed wheat ball with mash,Litti is baked sattu stuffed ball; chokha is mashed roasted vegetables
pithe,sweet,"[""rice_flour"", ""jaggery"", ""coconut"", ""sesame"", ""ghee""]","{""rice_flour"": 0.35, ""jaggery"": 0.25, ""coconut"": 0.25, ""sesame"": 0.08, ""ghee"": 0.07}",310,4.0,50.0,10.0,5.0,1.0,Bengali sweet,Rice flour cake,Odia/Bengali; steamed or fried rice flour cakes with coconut filling
